keywords,year,_description,_title,_artists,_material,_dimensions,_inventory_number,_realyear,id
"Landskap,svensk,man",1880,"Det karga, vindpinade landskapet är hämtat från Nordströms hembygd på Tjörn. Målningen har dock tillkommit i Varberg, dit konstnären flyttade i maj 1893 och där han tillsammans med Nils Kreuger och Richard Bergh utvecklade ett ”syntetistiskt” landskapsmåleri med svepande linjer och dämpad färgskala. Kritiken tyckte att Nordströms nya konst var dyster och inbunden: ”i Ovädersmoln hotar det mörknande landskapet med ett blekt och vansinnigt raseri”, skrev Edvard Alkman i Dagens Nyheter 1894.",Ovädersmoln,"Karl Nordström","Olja på duk","Mått 72 x 80 cm","NM 1893",1893,18898
"Landskap,svensk,man",1880,,Granngårdarna,"Karl Nordström","Olja på duk","Mått 96 x 196 cm","NM 1894",1894,18899
"Barn,svensk,man",1880,,"Badande barn","Carl Skånberg","Olja på duk","Mått 36 x 25 cm","NM 1896",1882,18901
"Landskap,svensk,man",1880,,"Vintermotiv från Eriksbergsområdet i Stockholm","Carl Skånberg","Olja på duk","Mått 51 x 81,5 cm","NM 1897",1880,18902
"Stadsbild,svensk,man",1880,,"Fruktbåt i Venedig. Skiss","Carl Skånberg","Olja på trä","Mått 21 x 31 cm","NM 1898",1882,18903
",italiensk,man,italiensk,okänd",1500,"Se beskrivning i den engelska versionen.","Caterina Cornaro, Cyperns drottning, mottager brev från rådet i Venedig","Giuseppe Caletti (Attribuerad till), Okänd (Tidigare attribution)","Olja på duk","Mått 128,5 x 172,5 cm","NM 19",1500,17330
"Religion/Mytologi,italiensk,man",1740,,"Herdarnas tillbedjan","Giovanni Domenico Tiepolo","Olja på duk","Mått 56 x 71 cm","NM 190",1754,17140
"Stadsbild,svensk,man",1860,,"Kyrktorn i Dordrecht","Carl Skånberg","Olja på papp","Mått 31 x 30 cm","NM 1900",1875,18905
"Porträtt,svensk,man",1880,"Hugo Salmson bosatte sig i Paris 1873. Han satsade först på att bli historiemålare, men nya intryck gjorde att han övergick till att skildra vardagen och moderna människor. Ur svenskt perspektiv har han ansetts vara en av sin generations mest tekniskt skickliga konstnärer – detaljrik och omsorgsfull. Men Mademoiselle Pourtalès har han avbildat med svepande, fria penseldrag. Det förefaller vara en intim bild av en vän. I en för dåtiden utmanande pose möter hon oblygt vår blick.","Mademoiselle Pourtalès","Hugo Salmson","Olja på duk","Mått 73 x 61 cm","NM 1902",1880,18907
"Scen,svensk,man",1880,,"I byhandeln","Carl Wilhelmson","Olja på duk","Mått 85 x 75 cm","NM 1904",1896,18909
"Religion/Mytologi,svensk,man",1880,"Vattnet porlar i forsen, månen lyser och Näcken spelar vemodigt på sin fiol. Han var både ett fascinerande och skrämmande väsen, som med sin musik lockade människor ner i djupet. Nationalromantikens konstnärer fascinerades av bondebefolkningens sagotraditioner. Ernst Josephson lyssnade på folkvisor och skrev egna dikter. För honom var Näcken ett andra jag – den missförstådde bohemen som sökte gå sin egen väg.",Näcken,"Ernst Josephson","Olja på duk","Mått 144 x 114 cm","NM 1905",1882,18910
"Scen,svensk,man",1900,,"Fiolspelande clown","Gösta von Hennigs","Olja på duk","Mått 125 x 105 cm","NM 1915",1915,18920
"Landskap,dansk,man",1840,,Landskap,"Christen Dalsgaard","Olja på duk","Mått 37 x 51 cm","NM 1921",1849,18926
"Landskap,svensk,man,svensk,man",1840,,"Landskap från Tivoli. Studie","Joseph Magnus Stäck (Konstnär), Gustaf Wilhelm Palm (Tidigare attribution)","Olja på papper monterat på papp","Mått 30 x 38 cm","NM 1923",1844,18927
"Stadsbild,dansk,man",1800,,"Klostergården i S. Maria in Aracoeli","Christoffer Wilhelm Eckersberg","Olja på duk
","Mått 36 x 48 cm","NM 1928",1815,18932
"Porträtt,svensk,man",1860,,"Bejen i Tunis Sid Muhammed Es Sadok","Johan Fredrik Höckert","Olja på duk","Mått 92,5 x 73,5 cm","NM 1939",1862,18943
"Religion/Mytologi,italiensk,man",1740,"Efter Darius död i slaget vid Gaugamela fick hans familj nåd av segraren Alexander den store, trots att de först misstog den ståtlige generalen Hefaistion för honom. Den framstående venetianske konstnären Paolo Veronese hade tidigare målat motivet och det verket inspirerade sannolikt Diziani. Diziani var främst verksam i Venedig, samtida med den mer berömde Gianbattista Tiepolo, men målade ofta i mindre skala, exempelvis för privata kabinett.","Darius familj inför Alexander","Gasparo Diziani","Olja på duk","Mått 147 x 201 cm","NM 195",1740,17145
"Scen,svensk,man",1900,,"Musikalisk familj","Anders Zorn","Olja på duk","Mått 130 x 100 cm","NM 1950",1905,18954
"Scen,svensk,man",1880,"Anders Zorn har kommit att bli förknippad med badande nakna unga kvinnor. I hans tidigare målningar med sådana motiv, som Efter badet från 1895, framstår kvinnorna som ovetande om betraktarens närvaro. De förefaller inte posera, utan fångade på duken i färd med att byta om eller koncentrerat ta sig upp ur vattnet. Denna icke-arrangerade karaktär är naturligtvis skenbar och nakenheten ett av bildens bärande element. Men man kan nog trots detta säga att målningarna inte i första hand är erotiska stycken utan att framställningens tyngdpunkt ligger på ljusets verkan. Den nakna kroppen är oskarp för att plastiskt fungera som en del av helhetens ljus- och skuggspel.","Efter badet","Anders Zorn","Olja på duk uppklistrad på papp","Mått 53,5 x 36,5 cm","NM 1952",1895,18956
"Stadsbild,svensk,man",1880,,"Riddarfjärden, Stockholm","Eugène Jansson","Olja på duk","Mått 112 x 42 cm","NM 1955",1898,18959
"Stadsbild,svensk,man",1880,,"Kvällsstämning vid Kornhamnstorg, Stockholm","Eugène Jansson","Olja på duk","Mått 110 x 87 cm","NM 1956",1897,18960
"Religion/Mytologi,svensk,man",1700,"Schröder, som var av tysk härkomst, studerade för David von Krafft och blev efter dennes bortgång 1724 svensk hovporträttör och 1745 hovintendent. Han utförde ett stort antal porträtt av bland andra Fredrik I och hans gemål Ulrika Eleonora. Under flera år studerade han i Tyskland och Italien, exempelvis i Florens och Rom. Han tog intryck av barockmästare som Francesco Trevisani som man tidigare trodde hade utfört denna målning.","Madonnan med barnet","Georg Engelhard Schröder","Olja på duk","Mått 92 x 75 cm","NM 196",1718,17146
"Scen,svensk,man",1900,"Karin och Carl Larssons hem i Dalarna ingick i lanseringen av ett nytt nationellt inredningsideal. De ratade industrialismens massproducerade varor och blandade äldre allmoge- och högreståndsmöbler med egendesignade textilier och stolar. Hemmet skapades av båda två, men i Carl Larssons verk försvinner Karin Larssons konstnärskap. Hon presenteras som hemmets vårdarinna, det ”evigt kvinnliga” enligt tidens norm.","Till en liten vira","Carl Larsson","Olja på duk","Mått 68 x 92 cm","NM 1961",1901,18965
"Stadsbild,svensk,man",1860,,"Hamnstad i Holland","Carl Skånberg","Olja på papper monterad på masonit","Mått 18 x 36 cm","NM 1966",1875,18970
"Scen,dansk,man",1880,,"Allvar. Interiör","Peter Alfred Schou","Olja på duk","Mått 47 x 78 cm","NM 1967",1890,18971
"Religion/Mytologi,italiensk",1600,,"Konungarnas tillbedjan",Okänd,"Olja på duk","Mått 52 x 71 cm","NM 197",1600,17147
"Landskap,svensk,man",1900,,"Plogad åker. Höstmotiv","Fritz Lindström","Olja på duk","Mått 50 x 92 cm","NM 1980",1901,18984
"Landskap,svensk,man",1900,,"Parklandskap. Motiv från Tyresö","Richard Bergh","Olja på duk","Mått 180 x 207 cm","NM 1992",1910,18996
"Barn,svensk,man",1880,,"Mor och barn. Konstnären Allan Österlinds maka och dotter","Ernst Josephson","Olja på trä","Mått 46 x 37,5 cm","NM 1995",1886,18999
"Landskap,svensk,man",1860,,"Norsk fjord i månsken. Motiv från Sognefjorden","Marcus Larson","Olja på duk","Mått 129 x 180 cm","NM 2000",1861,19004
"Djur,svensk,man",1740,"Efter hemkomsten till Sverige efter studier i bland annat Amsterdam på 1730-talet och Paris på 1740-talet, blev Johan Pasch en av de främsta dekorationsmålarna på Stockholms slott. Han hade egen målarverkstad och dekorerade även gods och gårdar som adeln och borglighet ägde. Han utförde bland annat dekor för familjen von Fersens palats i Stockholm. Väggpanelerna kommer från Mälsåkers slott som Axel von Fersen d.ä. lät nyinreda på 1750-talet.","Papegoja och kanin. Dekorationsmålning från Mälsåker slott","Johan Pasch d.ä.","Olja på duk","Mått 70 x 105 cm","NM 2003",1750,19007
"Djur,svensk,man",1740,,"Fåglar. Dekorationsmålning från Mälsåker slott","Johan Pasch d.ä.","Olja på duk","Mått 70 x 105 cm","NM 2004",1750,19008
"Religion/Mytologi,flamländsk,man,flamländsk,man",1600,"Se även beskrivning i den engelska versionen","Kristus predikar från båten","Jan Bruegel d.ä. (Konstnär), Jan Bruegel d.ä. (Medarbetare)","Olja på trä","Mått 82 x 121 cm","NM 2009",1606,19013
"Landskap,svensk,man",1820,,"Utsikt från Uppsala. Månskenslandskap","Carl Johan Fahlcrantz","Olja på duk","Mått 34 x 45 cm","NM 2010",1820,19014
"Religion/Mytologi,svensk,man",1800,,"Neros lärare Burrhus kastar sig för sin härskares fötter","Otto Wallgren","Oljka på duk","Mått 45 x 37 cm","NM 2016",1816,19020
"Scen,svensk,man",1880,,Gitano,"Hugo Birger","Olja på trä","Mått 65 x 48,5 cm","NM 2024",1882,19028
"Scen,svensk,man",1880,"Hugo Birgers turnyrklädda damer visar den mondäna värld som mötte de svenska konstnärerna i 1880-talets Paris. I Sverige krävde den borgerliga anständigheten vid den här tiden klänningar med långa ärmar, helst i svart – i Paris snördes damerna in i färgstarka sidenklänningar dekorerade med släp, volanger, spetsar och rysch. Små schäferhattar med bandrosetter och sidenskor fulländande de flärdfulla kreationerna som hämtade inspiration från 1700-talet.","I bersån","Hugo Birger","Olja på duk","Mått 100 x 81 cm","NM 2025",1880,19029
"Religion/Mytologi,fransk,man",1620,"Helgon avbildas ofta med föremål som syftar på deras liv och som gör dem möjliga att identifiera. Den uppslagna boken påminner om att kyrkofadern Hieronymus gjorde den första översättningen av Bibeln till latin. Gisslet och korset symboliserar hans botgöringstid i vildmarken. Den röda kardinalshatten visar hans höga ställning inom kyrkan, men är på sätt och vis märklig för på 300-talet, när Hieronymus levde, fanns ännu inga kardinaler.","Den helige Hieronymus botgöring","Georges de La Tour","Olja på duk","Mått 152 x 109 cm","NM 2026",1628,19030
"Stilleben,flamländsk,man",1640,"Se även beskrivning i den engelska versionen","Stilleben med rapphöns","Jan Fyt","Olja på duk","Mått 45 x 55 cm","NM 2030",1651,19034
"Scen,flamländsk,man",1600,"Se även beskrivning i den engelska versionen",Givmildheten,"Frans Francken d.y.","Olja på koppar","Mått 19,5 x 15 x 0,1 cm","NM 2032",1618,19036
"Landskap,flamländsk,man",1760,"Se även beskrivning i den engelska versionen","Landskap med bondfolk och kor","Peter van Regemorter","Olja på trä","Mått 23 x 31 cm","NM 2036",1777,19095
"Barn,flamländsk,okänd",1600,"Inskriptionen på målningen anger att flickan är fyra år. Hunden vid hennes fötter symboliserar trohet, lydnad och vilja att lära. Körsbären i korgen hon håller anspelar på fromhet, och björntanden i skallrans skaft ansågs skydda mot sjukdom och död, en reell risk under 1600-talet, då barnadödligheten var stor. Det står också att målningen är gjord av Tizian, men det handlar snarare om en okänd flamländsk konstnär.","Porträtt av en flicka med en hund",Okänd,"Olja på trä","Mått 94 x 56 cm","NM 204",1600,17154
"Porträtt,finsk,man",1800,,"Dam, knytande sitt strumpeband","Alexander Lauréus","Olja på duk","Mått 34 x 29 cm","NM 2042",1810,19101
"Landskap,holländsk,man,fransk,man",1880,,"Dekorativt landskap II","Jan Verkade (Konstnär), Paul Gauguin (Tidigare attribution)","Olja på trä","Mått 86 x 57 cm","NM 2050",1891,19109
"Porträtt,svensk,man",1880,,"Konstnären Björn Ahlgrensson","Aron Gerle","Olja på duk","Mått 81 x 59 cm","NM 2056",1899,19115
"Scen,svensk,man",1880,,Resignation,"Carl Wilhelmson","Olja på duk","Mått 90 x 90 cm","NM 2058",1895,19117
"Landskap,fransk,man",1820,"Landskapet utanför Rom gav konstnärer som reste norrifrån till Italien stor inspiration. De målade allt från vidsträckta vyer till detaljer med närgångna studier av mark och klippor. Här har Camille Corot koncentrerat sig på landskapets starka solupplysta färger. Med sin tydlighet framstår målningen på sätt och vis som en färgkarta.","Röda klippor vid Cività Castellana","Camille Jean Baptiste Corot","Olja på papper uppklistrad på duk","Mått 36 x 51 cm","NM 2060",1825,19119
"Porträtt,fransk,man",1880,"Målningen föreställer skådespelerskan Ellen André som parisiska, La Parisienne, vars miljö var den moderna kommersiella staden. Socialt sett var hon ofta en ung kvinna från arbetarklassen som försörjde sig som modell, expedit, servitris eller prostituerad. Hon ägnade mycket kraft åt sitt utseende, väl medveten om att hon var iakttagen, men också betraktande sig själv. Kvinnor var både dyrkade och begränsade i det framväxande konsumtionssamhället.",Parisiska,"Édouard Manet","Olja på duk","Mått 192 x 125 cm","NM 2068",1883,19127
"Landskap,svensk,man",1860,"Oscar Törnå kom till Frankrike på 1870-talet och tilltalades omedelbart av det nya friluftsmåleriet. Han var en av de första svenskarna som begav sig till konstnärskolonin i Grez-sur-Loing. Under åren 1876–1877 utförde han en rad målningar från trakterna kring Grez. Dit hör det här landskapet, signerat i september 1876. Törnå blev också en viktig förmedlare av det nya friluftsmåleriet i Sverige. Här är denna koppling särskilt tydlig – på dukens baksida har han efter hemkomsten målat ett landskap från Skedevi i Östergötland","Landskap från Grez-sur-Loing","Oscar Törnå","Olja på duk","Mått 43 x 77 cm","NM 2069 recto",1876,19129
"Landskap,svensk,man",1880,,"Landskap från Skedevi","Oscar Törnå","Olja på duk","Mått 43 x 77 cm","NM 2069 verso",1880,19128
"Landskap,fransk,man",1860,"Camille Pissarro bodde i Pontoise mellan 1866–1868 och 1872–1882 och skildrade den lilla staden med omgivningar i runt 300 målningar. Han hämtade motiv från småböndernas liv och arbete i det traditionella odlingslandskapet, men också från fabriksmiljöer, järnvägen och andra inslag i det moderna Frankrike. Bildens vårdag är målad i ljust gröna och gula nyanser med breda penseldrag och tjockt pålagd färg. Pontoise är idag en förort till Paris och ligger 30 km från stadens centrum.","Landskap från Pontoise","Camille Pissarro","Olja på duk","Mått 65 x 51 cm","NM 2086",1874,19146
"Scen,svensk,man",1900,"Målningen visar föreberedelserna för potatisbruk en sen vårkväll i Stockholms skärgård. Axel Sjöberg hämtade många motiv från skärgården där han, liksom flera andra konstnärer, bosatte sig på 1890-talet. Sjöberg köpte sig ett eget hemman och engagerade sig i öbornas livsvillkor. Den sociala medvetenheten är märkbar i denna målning, men lika viktig är kompositionens fasta form- och linjeföring som är besläktad med symbolisternas syntetistiska måleri.","Jordbruk i havsbandet I","Axel Sjöberg","Olja på duk","Mått 91 x 126 cm","NM 2090",1900,19150
"Stadsbild,svensk,man",1840,,"Utsikt över Rom med Colosseum. Studie","Gustaf Wilhelm Palm","Olja på papper monterad på duk","Mått 41 x 59 cm","NM 2095",1846,19155
"Stadsbild,svensk,man",1840,,"Utsikt från Narni. Studie","Gustaf Wilhelm Palm","Olja på papper","Mått 41 x 59 cm","NM 2096",1845,19156
"Religion/Mytologi,italiensk,man",1400,"Den äldste av de tre kungarna knäböjer framför Jesusbarnet. De två andra lyfter de dyrbara gåvorna högt över sina huvuden där de kommer ridande med sina följen genom det bergiga landskapet. Motivet med konungarnas tillbedjan var särskilt populärt hos de förmögna klasserna i renässansens Italien. Deras rikedom och gåvor till kyrkan kunde ses som en parallell till kungarnas gåvor till Jesusbarnet.","Triptyk med Konungarnas tillbedjan och helgon","Jacobello del Fiore","Tempera och guld på trä","Mått 123 x 72 cm mittparti","NM 2099",1408,19159
"Religion/Mytologi,italiensk",1600,,"Moses sätter upp kopparormen i öknen",Okänd,"Olja på duk","Mått 75 x 98 cm","NM 21",1600,17332
"Självporträtt,svensk,man",1900,"Eugène Jansson har framställt sig som elegant dandy, omgiven av nakna poserande män i flottans badhus. Den muskulösa, antika heroiska kroppen stod i centrum för sekelskiftets mansideal. Detta uppnåddes genom friskvård och solbad. Bilden är målad ur ett homoerotiskt perspektiv, i en tid då sexuella handlingar mellan män var förbjudna enligt lag. Denna gränsöverskridande subkultur var en dold men viktig del i den moderna stadens utveckling.",Självporträtt,"Eugène Jansson","Olja på duk","Mått 203 x 110 cm","NM 2101",1910,19161
"Porträtt,fransk,man",1840,,Mansporträtt,"Gustave Courbet","Olja på duk","Mått 49 x 38,5 cm","NM 2108",1851,19168
",fransk,man",1800,"Naturtroheten är nästan outhärdlig i Géricaults studie av avhuggna huvuden. Konstnären målade ett antal liknande motiv, i vissa fall med avhuggna armar och ben, från sjukhus i Paris. Det finns förmodligen ett samband med Géricaults mästerverk, Medusas flotte (i Louvren), som föreställer döende människor efter ett skeppsbrott. Målningarna kan ses som studier, ett sätt att komma döden nära för att kunna skildra den så övertygande som möjligt.","De avhuggna huvudena","Théodore Géricault","Olja på duk","Mått 50 x 61 cm","NM 2113",1810,19173
"Porträtt,svensk,man",1760,,"César Gabriel, greve af Choiseul, hertig av Praslin","Alexander Roslin","Olja på duk","Mått 130 x 100 cm","NM 2118",1762,19178
"Stadsbild,svensk,man",1820,,"Utsikt över Stockholm från Djurgården","Carl Johan Fahlcrantz","Olja på duk","Mått 210 x 260 cm","NM 2120",1820,19180
"Landskap,fransk,man",1880,"På 1880-talet begav sig Monet vid upprepade tillfällen till Normandiekusten. 1882 besökte han den lilla hamnstaden Pourville, där den här målningen tillkom. Monet använder här en ovanlig komposition – i ett brant perspektiv öppnar sig vyn över havet. Från klipporna i förgrunden leds blicken direkt ner mot det avlägsna, glittrande vattnet. Havet uppfyller hela bakgrunden utan någon synlig horisont. Vid denna tid blev Normandiekusten ett populärt turistmål, vilket de många små segelbåtarna i målningen vittnar om.","Utsikt över havet","Claude Monet","Olja på duk","Mått 63,5 x 80,3 cm","NM 2122",1882,19182
"Landskap,svensk,man",1880,,"Vid havsstranden","Ernst Josephson","Olja på trä","Mått 32 x 49 cm","NM 2129",1894,19189
"Religion/Mytologi,italiensk",1600,,"Dianas jakt",Okänd,"Olja på duk","Mått 50 x 67 cm","NM 213",1600,17163
"Scen,svensk,man",1900,,Atleter,"Eugène Jansson","Olja på duk","Mått 261 x 201 cm","NM 2133",1912,19193
"Stadsbild,svensk,man",1880,,"Stadens utkant","Eugène Jansson","Olja på duk","Mått 152 x 136 cm","NM 2134",1899,19194
"Landskap,svensk,man",1860,"Under 1870-talets slut såg Carl Larsson sig som historiemålare. Det hindrade honom dock inte från att utföra ett antal naturstudier i det franska friluftsmåleriets anda. Larsson besökte Barbizon tillsammans med nära vännen Hjalmar Sandberg, som å sin sida satsade helt på landskapsmåleriet. I flera fall framställde Larsson och Sandberg terrängen högst likartat – oskön och tistelskräpig, vilket tyder på att de målade tillsammans och stöttade varandra konstnärligt under den första tiden i Frankrike.","Landskapsstudie från Barbizon","Carl Larsson","Olja på duk","Mått 45 x 55 cm","NM 2138",1878,19198
"Landskap,svensk,man",1860,,"Utsikt vid Menil-Val","Wilhelm von Gegerfelt","Olja på trä","Mått 26,5 x 35 cm","NM 2139",1878,19199
"Religion/Mytologi,nederländsk,man",1540,"Den ammande Jungfru Maria utgår från en bysantinsk ikon, men är samtidigt baserad på direkt iakttagelse av en mor med sitt spädbarn. Vardaglig intimitet förenas med kristen symbolik genom detaljer som inspirerar till meditation om Jesu människoblivande, död och uppståndelse – äpplet, lindan, druvorna och Marias röda mantel. De kraftfullt modellerade figurerna som är påverkade av italiensk konst kombineras med ett nordeuropeiskt fantasilandskap.","Jungfru Maria med Jesusbarnet","Jan Sanders van Hemessen","Olja på ek","Mått 145 x 101 cm","NM 2140",1544,19200
"Landskap,schweizisk",1820,"Alexandre Calame specialiserade sig på att måla de schweiziska alperna. Här har han fångat ett bergsparti i Valais i gråväder. Hans verk fick stor spridning och bidrog till att forma bilden av Schweiz. Calame fick stor betydelse för svenskt landskapsmåleri som lärare till Edvard Bergh, som i sin tur undervisade vid Konstakademin i Stockholm.","Berglandskap i Valais","Alexandre Calame","Olja på duk","Mått 35 x 50 cm","NM 2143",1838,19203
"Barn,svensk,man",1880,"Gosse med skottkärra är en av Ernst Josephsons friskaste och mest ljusstarka bilder. Han målade den sommaren 1880, på Dalarö. Man kan säga att det var omkring den här tidpunkten som han öppnade sin bildvärld för dagsljuset. Innan hade han inspirerats av äldre måleri och därför använt mörkare färgskalor. Det var under en vistelse i Paris 1879 som han tog intryck av de moderna konstnärerna där, som gärna målade det som fanns omkring dem, i naturtroget ljus och klara färger.","Gosse med skottkärra","Ernst Josephson","Olja på trä","Mått 41 x 27 cm","NM 2144",1880,19204
"Porträtt,svensk,man",1660,,"Grevinnan Beata de la Gardie","David Klöcker Ehrenstrahl","Olja på duk","Mått 147,5 x 125,5 cm","NM 2148",1666,19208
"Religion/Mytologi,italiensk",1600,,"Den helige Kristoffer med Kristusbarnet",Okänd,"Olja på duk","Mått 48 x 31 cm","NM 215",1600,17165
"Stadsbild,svensk,man",1860,,"Sten Sture d ä:s intåg i Stockholm","Georg von Rosen","Olja på duk","Mått 90 x 140 cm","NM 2154",1864,19214
"Porträtt,svensk,man",1880,"Louise Breslau var uppvuxen i Tyskland och Schweiz och verkade som konstnär i Frankrike. Under en period på 1880-talet umgicks hon och reste tillsammans med flera svenska konstnärer – bland dem Ernst Josephson. Hans målning av henne tillkom 1883–1884 och ger intryck av att vara ett personligt vänporträtt. Här förekommer inga attribut som framhåller hennes yrkesroll som konstnär.","Konstnärinnan Louise Breslau","Ernst Josephson","Olja på trä","Mått 54,5 x 44,5 cm","NM 2155",1886,19215
"Landskap,fransk,man",1880,"På 1870- och 1880-talet fanns det många konstnärskolonier i Bretagne i Frankrike. Områdets orörda karaktär och dess religiösa befolkning lockade konstnärer med exotiska föreställningar om att där finna något ursprungligt. I Pont Aven experimenterade Paul Gauguin med en syntetiserande stil, där böljande linjer och starka färgfält ställs mot varandra. Han lämnade sedan den västerländska kulturen och begav sig till Tahiti.","Landskap från Bretagne","Paul Gauguin","Olja på duk","Mått 72,5 x 91 cm","NM 2156",1889,19216
"Barn,svensk,man",1880,,Fosterbröderna,"Olof Sager-Nelson","Olja på duk","Mått 64 x 40,5 cm","NM 2157",1894,19217
"Landskap,svensk,man",1880,"Per Ekström reste till 1876 till Frankrike där han stannade till 1890. Åren 1882–1887 vistades han i byn Carolles vid Normandies kust, där han hämtade motivet till den här målningen. Från 1880-talet var hans friluftsmåleri inriktat på studiet av ljuseffekter i luften, som här i skildringen av en vattensjuk sänka en solig men disig vårdag. En av hans främsta förebilder var den franske landskapsmålaren Camille Corot. Ekström var i Carolles periodvis utan kontakt med sina svenska konstnärskamrater och levde under svåra ekonomiska omständigheter.","Landskap med rinnande bäck. Motiv från Carolles i Normandie","Per Ekström","Olja på duk","Mått 30,5 x 65 cm","NM 2159",1880,19219
"Religion/Mytologi,fransk,man",1800,"Ingres vann Rompriset 1801 med ämnet Akilles tar emot Agamemnons sändebud. Detta är hans skiss. Till vänster sitter den grekiske hjälten Akilles och vid hans sida står Odysseus. Till höger ser man delegationen från kung Agamemnon, som försöker övertala Akilles att åter ansluta sig till de stridande grekerna. Ingres använde sig av kända antika skulpturer, som förebilder till sina figurer. Målningen har senare tillhört målaren Edgar Degas.","Akilles mottager i sitt tält Agamemnons sändebud","Jean-Auguste-Dominique Ingres","Olja på trä","Mått 25 x 32,5 cm","NM 2161",1801,19221
"Religion/Mytologi,svensk,man",1840,"Blommér var en av de konstnärer som vid mitten av 1800-talet ville skapa en nationell svensk konst genom att hämta motiv ur nordisk mytologi och folktro. Här har Blommér skildrat älvornas dans på en äng i skymningsljus. I bakgrunden av det romantiska landskapet skymtar Gripsholms slott. Målningen var tänkt att ingå i en serie om fyra målningar där varje målning skulle symbolisera en årstid. Ängsälvor representerade våren. Blommér avled av lunginflammation under en resa till Italien, knappt 37 år gammal.",Ängsälvor,"Nils Blommér","Olja på duk","Mått 115 x 143 cm","NM 2162",1850,19222
"Porträtt,italiensk",1520,"Porträttet visar det ideal som beskrivs i den italienske humanisten Baldassare Castigliones skrift Il libro del cortegiano (Hovmannen, 1528). En man skulle vara elegant, bildad och dessutom vara en medveten maktmänniska. Denne okände herre framställs i en dräkt av dyrbart material och modernt snitt. Hans ansikte är vaksamt. Högra handen vilar på värjfästet, beredd att omedelbart dra vapnet.","Okänd man","Dosso Dossi","Olja på duk","Mått 85,5 x 71 cm","NM 2163",1528,19223
"Landskap,fransk,man",1860,"I sina landskap skildrade Courbet ofta sin hembygd i östra Frankrike – så också i den här målningen av en djupblå källa i trakten av Ornans. Courbet undvek alla romantiska och pittoreska vyer för att istället skildra naturen på ett mer realistiskt och osentimentalt vis. Hans intresse för geologi kommer till uttryck i en förkärlek för skrovliga stenytor och vittrande klippor. I den här målningen framträder också det mänskliga slitet i naturen – ovanför grottöppningen syns en skogshuggare i färd med att fälla ett väldigt träd.","Landskap från La Source Bleue","Gustave Courbet","Olja på duk","Mått 82 x 99 cm","NM 2166",1872,19226
"Religion/Mytologi,italiensk,man",1600,"Se beskrivning i den engelska versionen.",Korsbärandet,"Callisto Piazza (Attribuerad till), Okänd (Tidigare attribution)","Olja på duk","Mått 68 x 66 cm","NM 217",1600,17167
"Stilleben,holländsk,man",1620,,"Stilleben med blomsterkorg","Balthasar van der Ast","Olja på trä","Mått 42,1 x 62,6 cm","NM 2170",1630,19230
"Scen,holländsk,man",1680,,Krogscen,"Richard Brakenburgh","Olja på duk","Mått 102 x 128 cm","NM 2176",1692,19236
"Stadsbild,italiensk,man",1720,"Antonio Canaletto var en av de främsta målarna av vyer, kallade vedutor, från Venedig. När furstar från norra Europa gjorde bildningsresor till Italien var Venedig ett självklart tidigt mål. Därför blev det stor efterfrågan på souvenirer från staden. Genom konsuln och mecenaten Joseph Smith fick Canaletto framför allt en stor engelsk publik. Vyn med kyrkan San Geremia och öppningen till Cannaregiokanalen var mycket efterfrågad.","Vy av kyrkan San Geremia och Cannaregio","Antonio Canaletto","Olja på duk","Mått 28 x 56 cm","NM 218",1725,17168
"Scen,svensk,man",1860,,Fiskafänge,"Edvard Bergh","Olja på duk","Mått 85 x 128 cm","NM 2184",1879,19244
"Porträtt,fransk,kvinna",1800,"I målningen porträtteras en ung kvinna som gudinnan Flora. Élisabeth Vigée-Lebrun var en av det sena 1700-talets mest framgångsrika konstnärer i Frankrike, men flydde från hemlandet i början av revolutionen. Denna målning tillkom samma år som hon återkom. Stilistiskt hör dock Flora hemma i Vigée-Lebruns tidigare produktion. Antagligen är bilden är målad i efterhand som pendang till, eller ersättning för, en förlorad målning.","Porträtt av ung dam som Flora","Élisabeth Louise Vigée-Lebrun","Olja på duk","Mått 72 x 60 cm","NM 2187",1811,19247
"Scen,norsk,man",1880,,"Interiör från fiskarstuga på Skagen","Christian Krohg","Olja på duk","Mått 59 x 73 cm","NM 2189",1883,19249
"Landskap,svensk,man",1840,,"Solnedgång. Skiss","Edvard Bergh","Olja på papp","Mått 39,5 x 53 cm","NM 2193",1858,19253
"Landskap,svensk,man",1880,,"Öresund. Studie från Ven","Gustaf Rydberg","Olja på duk","Mått 35 x 48 cm","NM 2197",1892,19257
"Religion/Mytologi,italiensk,man,italiensk",1700,"Se beskrivning i den engelska versionen.","Den helige Hieronymus i ödemarken","Pier Francesco Mola (Konstnär), Okänd (Tidigare attribution)","Olja på duk","Mått 66 x 48 cm","NM 22",1700,17333
"Stilleben,italiensk",1600,,"Stilleben med frukter och vita rosor",Okänd,"Olja på duk","Mått 37 x 25 cm","NM 220",1600,17170
"Stilleben,italiensk,italiensk",1600,,"Stilleben med fikon","Okänd (Konstnär), Okänd (Tidigare attribution)","Olja på duk","Mått 16 x 28 cm","NM 221",1600,17171
",svensk,man",1920,,Hemlandstoner,"Anders Zorn","Olja på duk","Mått 128 x 75 cm","NM 2214",1920,19274
"Scen,svensk,man",1900,,"Badande ynglingar","Georg Pauli","Olja på duk","Mått 175 x 132 x 7 cm","NM 2215",1914,19275
